# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250301
# Fecha de finalización: 20250331
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
LUMIPOOL 4W luz RGB - Vulcano SA,0,41,10,32,19,0,32,1.28125,36.125,106
Bomba para piscina BAT 100 - 1.00HP 220V monofásica - Vulcano SA,0.06666666666666667,93,9,71,26,15,71,1.3098591549295775,53.59154929577465,260
Cascada plástica ABS 120 (ø50) - Vulcano SA,0.1111111111111111,25,9,20,14,2,20,1.25,25.35,73
Bomba autodrenante BAD 075 - Vulcano SA,0.1111111111111111,25,8,22,14,3,22,1.1363636363636365,59.36363636363637,67
Bomba para piscina BAE 125 - 1.25HP 220V monofásica - Vulcano SA,0.045454545454545456,76,8,58,19,7,56,1.3571428571428572,33.267857142857146,185
Bomba para piscina BAT 075 - 0.75HP 220V monofásica - Vulcano SA,0.078125,71,8,51,22,9,51,1.392156862745098,39.19607843137255,179
Cascada Palma 46 - Vulcano SA,0.10344827586206896,27,8,22,14,5,21,1.2857142857142858,73,78
Filtro VF-2000 con válvula manual - Vulcano SA,0.1111111111111111,57,8,42,17,8,42,1.3571428571428572,31.404761904761905,148
POOL-INVERTER DH 100 - Vulcano SA,0.09803921568627451,51,8,43,19,5,42,1.2142857142857142,41.57142857142857,141
"PowerLED 18W RGB 2,6 m - Vulcano SA",0,13,8,11,6,2,11,1.1818181818181819,16.363636363636363,37
"PowerLED 9W luz blanca 2,6 m - Vulcano SA",0.08333333333333333,12,8,8,4,0,8,1.5,27.875,32
Press Control PCA 15 - Vulcano SA,0.19230769230769232,22,8,20,8,11,19,1.1578947368421053,21.263157894736842,90
"Válvula de retención PN10 2"" (para roscar) - Vulcano SA",0,11,8,10,4,2,10,1.1,17.2,36
Casilla soplada fondo plano - Vulcano SA,0.06666666666666667,14,7,12,7,2,12,1.1666666666666667,23.75,49
Casilla soplada para equipo de filtrado hasta VC-30 - Vulcano SA,0.08695652173913043,22,7,19,9,3,19,1.1578947368421053,44.10526315789474,62
Ducha solar para piscina columna gris - Vulcano SA,0,20,7,17,9,3,17,1.1764705882352942,21.352941176470587,56
Escalera Confort 2 AISI - Vulcano SA,0.12,25,7,21,9,2,20,1.25,15.45,71
Escalera Confort 3 AISI - Vulcano SA,0.0975609756097561,39,7,35,16,8,34,1.1470588235294117,15.647058823529411,126
SuperLED luz azul 4W - Vulcano SA,0.09090909090909091,20,7,16,8,0,16,1.25,20.875,48
Bomba para piscina BAP 100-3 (MI) - 1.00HP 220V/380V trifásica - Vulcano SA,0.07692307692307693,52,6,41,15,1,41,1.2682926829268293,23.75609756097561,127
Bomba sopladora 400W - Vulcano SA,0.11538461538461539,26,6,19,9,4,19,1.368421052631579,34.73684210526316,81
Cascada Salto 34 - Vulcano SA,0.05555555555555555,17,6,16,10,1,16,1.0625,15.5625,49
Cascada plástica ABS 040 (ø50) - Vulcano SA,0,11,6,9,8,0,9,1.2222222222222223,20.444444444444443,30
Cascada plástica ABS 050 (ø50) - Vulcano SA,0.1,10,6,9,7,1,9,1.1111111111111112,7.777777777777778,29
"Cascada plástica ABS 240 (1 1/2"") - Vulcano SA",0,8,6,6,4,2,6,1.3333333333333333,29.5,24
Controlador 4AMP para luminaria RGB - Vulcano SA,0.037037037037037035,33,6,24,18,3,24,1.375,31.791666666666668,95
Controlador 72W para luminaria RGB - Vulcano SA,0,27,6,23,12,3,23,1.173913043478261,36.69565217391305,68
Filtro VF-1000 con válvula automática - Vulcano SA,0.075,44,6,33,13,4,33,1.3333333333333333,48.15151515151515,127
Preguntas Frecuentes - Vulcano SA,0.020942408376963352,198,6,178,48,18,175,1.1314285714285715,30.33142857142857,489
SuperLED luz blanca 4W - Vulcano SA,0.045454545454545456,22,6,14,8,0,14,1.5714285714285714,20.785714285714285,47
Varilla soporta para tapa casilla soplada - Vulcano SA,0,11,6,9,3,2,9,1.2222222222222223,21.666666666666668,34
Bomba centrífuga ECM-100 - Vulcano SA,0.0625,37,5,28,7,8,27,1.3703703703703705,70.33333333333333,94
Bomba para piscina BAP 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.05405405405405406,117,5,93,29,0,91,1.2857142857142858,36.56043956043956,254
Cascada plástica ABS 030 (ø50) - Vulcano SA,0,14,5,10,8,0,10,1.4,30.9,35
"Cascada plástica ABS 080 (1 1/2"") - Vulcano SA",0.058823529411764705,16,5,8,6,3,8,2,28.625,55
Controlador 54W para luminaria RGB - Vulcano SA,0.03333333333333333,32,5,25,13,5,25,1.28,25.88,92
POOL-INVERTER DH 50 - Vulcano SA,0.03278688524590164,66,5,55,23,3,55,1.2,45.54545454545455,155
POOL-INVERTER DH 80 - Vulcano SA,0.022727272727272728,49,5,41,16,9,41,1.1951219512195121,30.4390243902439,133
"PowerLED 9W luz azul 2,6 m - Vulcano SA",0,27,5,23,7,2,23,1.173913043478261,21.82608695652174,67
Press Control PCA 22 - Vulcano SA,0,15,5,14,6,5,14,1.0714285714285714,27.642857142857142,52
Toma de fondo p/esquina (FV) - Vulcano SA,0.15,20,5,16,10,2,16,1.25,22.3125,53
Bomba sopladora 700W - Vulcano SA,0.0625,16,4,12,7,1,12,1.3333333333333333,50.083333333333336,47
Cascada Arrecife 79 - Vulcano SA,0,16,4,11,7,0,11,1.4545454545454546,18.545454545454547,37
Cascada Cisne 108* - Vulcano SA,0.13636363636363635,20,4,17,12,2,16,1.25,21.75,54
Cascada Palma 78 - Vulcano SA,0.08695652173913043,26,4,18,7,2,18,1.4444444444444444,20,68
Cascada plástica ABS 080 (ø50) - Vulcano SA,0,12,4,11,6,0,11,1.0909090909090908,37.72727272727273,30
"Cascada plástica ABS 120 (1 1/2"") - Vulcano SA",0.058823529411764705,17,4,15,6,7,14,1.2142857142857142,12.857142857142858,56
Cascada plástica ABS 160 (ø50) - Vulcano SA,0.16666666666666666,5,4,5,3,1,5,1,96.4,21
Easy Pool Touch 36W - Vulcano SA,0.06666666666666667,14,4,14,3,3,13,1.0769230769230769,39.38461538461539,39
Equipo de filtración portatil - Vulcano SA,0.022727272727272728,50,4,39,11,25,38,1.3157894736842106,34.421052631578945,161
"PowerLED 9W RGB 2,6 m - Vulcano SA",0.1111111111111111,8,4,7,5,0,6,1.3333333333333333,15.333333333333334,23
Válvula de retención PN16 HH ø50 mm (para pegar) - Vulcano SA,0.09090909090909091,13,4,9,6,1,9,1.4444444444444444,13.11111111111111,32
"Válvula esférica PN10 HH 1 1/2""(para roscar) - Vulcano SA",0.26666666666666666,11,4,12,4,6,12,0.9166666666666666,21.5,43
Adhesivo para PVC N-40 x 500 ml - Vulcano SA,0,11,3,10,3,5,10,1.1,13.2,33
Bomba autodrenante BAD 050 - Vulcano SA,0.041666666666666664,25,3,19,9,2,18,1.3888888888888888,56.388888888888886,66
Cascada Arrecife 47 - Vulcano SA,0.125,14,3,14,9,1,14,1,16.285714285714285,40
Codo 90° PN16 HH ø40 mm (para pegar) - Vulcano SA,0,6,3,6,5,0,6,1,18.833333333333332,22
Colector con salida central PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0.1111111111111111,9,3,8,8,0,8,1.125,24.125,28
Controlador 90W para luminaria RGB - Vulcano SA,0,20,3,11,5,3,11,1.8181818181818181,18,47
Cruz PN16 HH ø50 mm (para pegar) - Vulcano SA,0,5,3,3,1,2,3,1.6666666666666667,18.333333333333332,18
Escalera Confort 2 ABS - Vulcano SA,0,10,3,6,4,0,6,1.6666666666666667,63.166666666666664,28
Escalera Confort 4 ABS - Vulcano SA,0.15,17,3,16,10,0,14,1.2142857142857142,15.214285714285714,50
Fuente Switching 2A (24W) - Vulcano SA,0,12,3,7,3,3,7,1.7142857142857142,21.714285714285715,31
Início - Vulcano SA,0,0,3,7,0,0,7,0,28.142857142857142,46
Luminaria para embutir BiPin 100W (LR) - Vulcano SA,0,7,3,6,1,0,6,1.1666666666666667,72.33333333333333,22
Luz cascada RGB 80 cm / 8W - Vulcano SA,0,11,3,11,4,5,11,1,30.363636363636363,41
"Manguito PN16 ø40 mm - RM 1 1/4"" (para pegar y roscar) - Vulcano SA",0,4,3,4,2,1,4,1,23.75,13
"PowerLED 4,5W RGB 2,6 m - Vulcano SA",0,7,3,6,1,3,6,1.1666666666666667,157.16666666666666,25
