# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Bomba para piscina BAP 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0.06593406593406594,88,11,78,36,1,78,1.1282051282051282,27.012820512820515,207
Bomba para piscina BAP 050 (AL) - 0.50HP 220V monofásica - Vulcano SA,0.0392156862745098,106,11,92,31,17,92,1.1521739130434783,47.25,285
Controlador 4AMP para luminaria RGB - Vulcano SA,0.05,24,11,15,6,5,14,1.7142857142857142,49.714285714285715,74
LUMIPOOL 9W luz blanca - Vulcano SA,0.12,22,11,20,12,3,20,1.1,15.75,71
Luminaria subacuática LED RGB-28 - Vulcano SA,0.04878048780487805,48,11,35,14,4,35,1.3714285714285714,43.6,120
"PowerLED 9W luz azul 2,6 m - Vulcano SA",0.04,25,11,20,11,1,20,1.25,29.8,69
Casilla soplada para equipo de filtrado hasta VC-30 - Vulcano SA,0.15384615384615385,25,10,20,9,6,20,1.25,76.1,81
Bomba para piscina BAS 033 - 0.33HP 220V monofásica - Vulcano SA,0.058823529411764705,57,9,41,20,5,41,1.3902439024390243,119,151
Bomba sopladora 900W - Vulcano SA,0.08108108108108109,39,9,32,14,12,31,1.2580645161290323,35.74193548387097,129
Cascada plástica ABS 160 (ø50) - Vulcano SA,0.06666666666666667,14,9,12,9,3,12,1.1666666666666667,10.166666666666666,41
Escalera Confort 2 AISI - Vulcano SA,0.05263157894736842,20,9,15,7,2,14,1.4285714285714286,13.5,57
Filtro VF-1000 con válvula automática - Vulcano SA,0.0975609756097561,42,9,33,17,3,33,1.2727272727272727,38.96969696969697,114
PowerLED 9W RGB 5 m - Vulcano SA,0,20,9,17,4,10,17,1.1764705882352942,20.294117647058822,72
SuperLED luz blanca 4W - Vulcano SA,0.05263157894736842,20,9,17,11,0,17,1.1764705882352942,35.35294117647059,52
Bomba para piscina BAE 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.07317073170731707,46,8,33,13,6,33,1.393939393939394,38.27272727272727,113
Bomba para piscina BAF 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0,37,8,28,8,8,28,1.3214285714285714,45.92857142857143,106
Bomba para piscina BAP 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.08955223880597014,68,8,56,22,6,56,1.2142857142857142,28.446428571428573,167
Controlador solar MMZ - Vulcano SA,0.07692307692307693,14,8,12,5,3,11,1.2727272727272727,31.818181818181817,38
Limpiafondos inalámbrico Zuipy - Vulcano SA,0,40,8,32,10,13,31,1.2903225806451613,22.741935483870968,121
Bomba centrífuga ECM-100 - Vulcano SA,0.037037037037037035,26,7,23,6,8,23,1.1304347826086956,44.130434782608695,90
Cascada plástica ABS 080 (ø50) - Vulcano SA,0.13333333333333333,12,7,12,8,0,12,1,19.416666666666668,34
"Cascada plástica ABS 120 (1 1/2"") - Vulcano SA",0,21,7,14,6,7,14,1.5,32.57142857142857,64
Luminaria para adosar BiPin 100W (LE) - Vulcano SA,0.05555555555555555,24,7,14,7,4,14,1.7142857142857142,36.857142857142854,67
Luminaria spot blanco LED RGB-12 Hormigón - Vulcano SA,0.07692307692307693,13,7,12,4,6,12,1.0833333333333333,41.416666666666664,46
"PowerLED 6W RGB 2,6 m - Vulcano SA",0.15384615384615385,11,7,9,6,0,9,1.2222222222222223,18.77777777777778,34
Cascada plástica ABS 200 (ø50) - Vulcano SA,0,11,6,9,4,2,9,1.2222222222222223,8.222222222222221,29
LUMIPOOL 4W luz RGB - Vulcano SA,0.16666666666666666,25,6,18,12,0,18,1.3888888888888888,40.72222222222222,70
"PowerLED 6W luz blanca 2,6 m - Vulcano SA",0,7,6,6,6,0,6,1.1666666666666667,15,27
Preguntas Frecuentes - Vulcano SA,0.043478260869565216,144,6,129,40,16,129,1.1162790697674418,30.108527131782946,342
Press Control PCA 22 - Vulcano SA,0.10714285714285714,26,6,19,7,9,19,1.368421052631579,15.31578947368421,77
SuperLED luz azul 4W - Vulcano SA,0.08333333333333333,14,6,12,8,0,12,1.1666666666666667,36.833333333333336,36
Tubo flexible PVC ø50 mm (Hidroflex) - Vulcano SA,0,15,6,9,2,2,9,1.6666666666666667,57.111111111111114,46
Bomba para piscina BAE 100-3 (MI) - 1.00HP 220V/380V trifásica - Vulcano SA,0.029411764705882353,41,5,24,10,5,24,1.7083333333333333,53.125,105
Bomba para piscina BAP 125 - 1.25HP 220V monofásica - Vulcano SA,0.07017543859649122,56,5,43,20,4,42,1.3333333333333333,50.023809523809526,141
Bomba sopladora 700W - Vulcano SA,0,13,5,12,7,2,11,1.1818181818181819,31,34
Bomba sumergible Q1000B1 - Vulcano SA,0.10526315789473684,20,5,17,6,0,17,1.1764705882352942,25.11764705882353,52
Cascada Salto 34 - Vulcano SA,0.1875,14,5,13,10,3,13,1.0769230769230769,16.23076923076923,43
"Cascada plástica ABS 080 (1 1/2"") - Vulcano SA",0.058823529411764705,17,5,12,9,2,12,1.4166666666666667,31.166666666666668,54
