# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250601
# Fecha de finalización: 20250630
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Bomba para piscina BAP 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0.07246376811594203,69,10,59,26,0,59,1.1694915254237288,46.016949152542374,163
LUMIPOOL 9W luz blanca - Vulcano SA,0.037037037037037035,27,10,25,20,2,24,1.125,40.416666666666664,72
POOL-INVERTER DH 100 - Vulcano SA,0.06097560975609756,96,10,62,22,22,61,1.5737704918032787,69.52459016393442,273
Bomba centrífuga ECM-100 - Vulcano SA,0.13333333333333333,28,9,21,10,8,21,1.3333333333333333,41.523809523809526,89
Bomba para piscina BAE 125 - 1.25HP 220V monofásica - Vulcano SA,0.09302325581395349,42,9,35,18,8,35,1.2,42.02857142857143,128
Bomba para piscina BAS 033 - 0.33HP 220V monofásica - Vulcano SA,0.05,67,9,37,21,3,36,1.8611111111111112,104.08333333333333,175
Bomba para piscina BAS 050 - 0.50HP 220V monofásica - Vulcano SA,0.041666666666666664,50,9,44,15,7,44,1.1363636363636365,48.61363636363637,141
Cascada plástica ABS 050 (ø50) - Vulcano SA,0,21,9,16,12,1,16,1.3125,16.75,51
Escalera Confort 3 AISI - Vulcano SA,0.10714285714285714,32,9,20,7,9,20,1.6,64.2,116
Limpiafondos inalámbrico Zuipy - Vulcano SA,0.09090909090909091,59,9,47,21,18,44,1.3409090909090908,33.70454545454545,191
POOL-INVERTER DH 50 - Vulcano SA,0.1111111111111111,84,9,52,30,9,51,1.6470588235294117,76.3529411764706,207
"PowerLED 18W RGB 2,6 m - Vulcano SA",0,18,9,10,5,3,10,1.8,29.9,58
"PowerLED 9W luz azul 2,6 m - Vulcano SA",0.08695652173913043,22,9,19,9,0,19,1.1578947368421053,75.89473684210526,60
Bomba autodrenante BAD 125 - Vulcano SA,0.13636363636363635,22,8,14,10,1,14,1.5714285714285714,46.857142857142854,76
"Cascada plástica ABS 080 (1 1/2"") - Vulcano SA",0.09523809523809523,17,8,16,10,4,16,1.0625,12.3125,59
Ducha solar para piscina columna gris - Vulcano SA,0,21,8,17,5,3,16,1.3125,32.4375,57
Escalera Confort 2 AISI - Vulcano SA,0.04,27,8,19,9,1,19,1.4210526315789473,19.157894736842106,71
Filtro VF-1000 con válvula automática - Vulcano SA,0.06818181818181818,48,8,32,21,8,31,1.5483870967741935,61.096774193548384,126
Preguntas Frecuentes - Vulcano SA,0.0375,166,8,138,52,13,136,1.2205882352941178,35.00735294117647,404
Skimmer mini FV - Vulcano SA,0,25,8,19,10,1,19,1.3157894736842106,25.63157894736842,64
SuperLED luz azul 4W - Vulcano SA,0,23,8,14,6,1,14,1.6428571428571428,34.642857142857146,58
SuperLED luz blanca 4W - Vulcano SA,0.23529411764705882,14,8,13,9,0,13,1.0769230769230769,44.07692307692308,38
Bomba autodrenante BAD 050 - Vulcano SA,0.05714285714285714,36,7,29,11,1,29,1.2413793103448276,36.3448275862069,98
Bomba autodrenante BAD 125 2-S - Vulcano SA,0.07692307692307693,23,7,21,9,3,21,1.0952380952380953,56.23809523809524,71
Bomba para piscina BAT 075 - 0.75HP 220V monofásica - Vulcano SA,0.05714285714285714,33,7,27,14,2,27,1.2222222222222223,67.22222222222223,90
Cascada Cisne 108* - Vulcano SA,0.06896551724137931,29,7,22,14,5,22,1.3181818181818181,23.045454545454547,84
Casilla soplada para equipo de filtrado hasta VC-30 - Vulcano SA,0.125,33,7,21,10,4,21,1.5714285714285714,58.857142857142854,89
"PowerLED 6W luz azul 2,6 m - Vulcano SA",0,12,7,10,4,0,10,1.2,48.8,34
Bomba para piscina BAF 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0.043478260869565216,57,6,41,16,10,41,1.3902439024390243,57.31707317073171,146
Bomba para piscina BAP 033 – 0.33HP 220V monofásica - Vulcano SA,0.04081632653061224,50,6,44,18,2,44,1.1363636363636365,48.56818181818182,121
Bomba para piscina BAP 050 (AL) - 0.50HP 220V monofásica - Vulcano SA,0.07142857142857142,74,6,60,24,14,59,1.2542372881355932,30.847457627118644,200
Bomba para piscina BAP 125 - 1.25HP 220V monofásica - Vulcano SA,0.03125,71,6,56,22,10,56,1.2678571428571428,66.03571428571429,195
Cascada Palma 46 - Vulcano SA,0.12121212121212122,35,6,25,15,5,24,1.4583333333333333,19.458333333333332,94
Cascada plástica ABS 240 (ø50) - Vulcano SA,0.1111111111111111,9,6,8,4,0,8,1.125,9,27
Controlador 72W para luminaria RGB - Vulcano SA,0.06666666666666667,35,6,23,14,3,23,1.5217391304347827,56.08695652173913,101
Ducha solar para piscina hoja verde - Vulcano SA,0.047619047619047616,25,6,18,7,6,18,1.3888888888888888,32.111111111111114,74
Escalera Confort 3 ABS - Vulcano SA,0,20,6,11,9,2,11,1.8181818181818181,15.727272727272727,50
Filtro VF-2000 con válvula manual - Vulcano SA,0.06896551724137931,33,6,25,15,2,24,1.375,59.333333333333336,98
LUMIPOOL 4W luz RGB - Vulcano SA,0.09090909090909091,23,6,17,12,0,17,1.3529411764705883,50.470588235294116,61
Luminaria subacuática LED RGB-28 - Vulcano SA,0.029411764705882353,36,6,31,8,9,31,1.1612903225806452,26.419354838709676,100
Mi ZUIPY - Vulcano SA,0.09090909090909091,46,6,31,22,1,31,1.4838709677419355,56.16129032258065,322
Modulo expansor RGB 180W - Vulcano SA,0,4,6,3,2,0,3,1.3333333333333333,32.666666666666664,13
Tubo flexible PVC ø40 mm (Hidroflex) - Vulcano SA,0,33,6,16,4,12,16,2.0625,22.8125,93
Bomba centrífuga ECM-050 - Vulcano SA,0.047619047619047616,22,5,14,7,2,14,1.5714285714285714,120,62
Bomba para piscina BAE 100-3 (MI) - 1.00HP 220V/380V trifásica - Vulcano SA,0,41,5,34,12,5,33,1.2424242424242424,21.939393939393938,102
Bomba para piscina BAT 100 - 1.00HP 220V monofásica - Vulcano SA,0,37,5,29,12,7,29,1.2758620689655173,30.103448275862068,95
Cascada plástica ABS 080 (ø50) - Vulcano SA,0.11764705882352941,17,5,13,10,1,13,1.3076923076923077,15.692307692307692,44
"Cascada plástica ABS 120 (1 1/2"") - Vulcano SA",0,17,5,12,5,6,12,1.4166666666666667,11.5,50
Controlador 4AMP para luminaria RGB - Vulcano SA,0.047619047619047616,21,5,18,13,3,18,1.1666666666666667,47.833333333333336,55
Inicio - Vulcano SA | Chile,0.041666666666666664,111,5,5,3,5,5,22.2,742.6,948
"PowerLED 9W luz blanca 2,6 m - Vulcano SA",0.3333333333333333,8,5,6,5,1,6,1.3333333333333333,22.5,26
Toma de fondo p/esquina (FV) - Vulcano SA,0.23076923076923078,21,5,14,10,1,14,1.5,30.142857142857142,61
Bomba centrífuga ECM-075 - Vulcano SA,0.043478260869565216,25,4,20,8,3,19,1.3157894736842106,87.84210526315789,72
Bomba para piscina BAE 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.038461538461538464,28,4,24,7,2,24,1.1666666666666667,26,76
Bomba para piscina BAP 050 - 0.50HP 220V monofásica - Vulcano SA,0.05357142857142857,63,4,46,24,1,46,1.3695652173913044,40.95652173913044,167
Cascada Riviera 44 - Vulcano SA,0,17,4,15,7,3,15,1.1333333333333333,14.333333333333334,45
Cascada Salto 34 - Vulcano SA,0.07692307692307693,13,4,12,7,3,12,1.0833333333333333,8.333333333333334,41
Casilla soplada fondo plano - Vulcano SA,0,15,4,12,5,2,12,1.25,42.583333333333336,40
Fuente Switching 10A (120W) - Vulcano SA,0,14,4,12,4,7,12,1.1666666666666667,8.833333333333334,49
"PowerLED 6W RGB 2,6 m - Vulcano SA",0.06666666666666667,15,4,11,5,5,11,1.3636363636363635,20,50
Press Control PCA 15 - Vulcano SA,0,11,4,9,5,2,9,1.2222222222222223,39.333333333333336,32
Press Control PCA 22 - Vulcano SA,0.10526315789473684,18,4,17,6,9,17,1.0588235294117647,27.764705882352942,64
Timer Plus 36W - Vulcano SA,0,14,4,13,5,1,12,1.1666666666666667,60.166666666666664,43
Bomba autodrenante BAD 075 - Vulcano SA,0,24,3,17,7,3,17,1.411764705882353,64.17647058823529,64
Bomba autodrenante BAD 100 - Vulcano SA,0.08333333333333333,22,3,18,13,3,18,1.2222222222222223,76.88888888888889,62
Bomba sopladora 400W - Vulcano SA,0,16,3,14,3,5,13,1.2307692307692308,51.76923076923077,48
Bomba sumergible Q1000B1 - Vulcano SA,0.08333333333333333,25,3,19,8,7,19,1.3157894736842106,31.736842105263158,74
