# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250501
# Fecha de finalización: 20250531
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
SuperLED luz azul 12W - Vulcano SA,0.018867924528301886,56,12,44,12,2,44,1.2727272727272727,35.09090909090909,144
Toma de fondo p/esquina (FV) - Vulcano SA,0.07142857142857142,32,12,22,12,7,22,1.4545454545454546,37,97
Bomba para piscina BAP 050 (AL) - 0.50HP 220V monofásica - Vulcano SA,0.056818181818181816,99,11,73,32,14,73,1.356164383561644,62.16438356164384,263
Controlador 4AMP para luminaria RGB - Vulcano SA,0.0967741935483871,33,11,23,11,7,23,1.434782608695652,44.130434782608695,103
Ducha solar para piscina columna gris - Vulcano SA,0,34,11,21,10,3,21,1.619047619047619,20.523809523809526,83
Filtro VF-1000 con válvula automática - Vulcano SA,0.05555555555555555,39,11,32,13,3,32,1.21875,111.5625,115
Bomba para piscina BAC 150 - 1.50HP 220V monofásica - Vulcano SA,0.08571428571428572,76,10,58,26,13,58,1.3103448275862069,39.724137931034484,201
Bomba para piscina BAP 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0.08536585365853659,82,10,68,27,1,68,1.2058823529411764,32.60294117647059,210
LUMIPOOL 4W luz RGB - Vulcano SA,0.07142857142857142,26,10,22,12,0,22,1.1818181818181819,20.181818181818183,71
Luminaria para adosar BiPin 100W (LE) - Vulcano SA,0,17,10,11,4,3,11,1.5454545454545454,48.90909090909091,57
Luminaria para adosar LED B-4 - Vulcano SA,0.20588235294117646,42,10,26,16,2,26,1.6153846153846154,101.57692307692308,114
Bomba para piscina BAE 100-3 (MI) - 1.00HP 220V/380V trifásica - Vulcano SA,0.017241379310344827,63,9,49,12,11,49,1.2857142857142858,25.244897959183675,172
Bomba para piscina BAT 075 - 0.75HP 220V monofásica - Vulcano SA,0.03333333333333333,37,9,27,11,6,27,1.3703703703703705,42.074074074074076,93
Cascada plástica ABS 080 (ø50) - Vulcano SA,0.08333333333333333,12,9,9,7,0,9,1.3333333333333333,19.555555555555557,30
Escalera Confort 2 AISI - Vulcano SA,0.08,25,9,21,13,1,21,1.1904761904761905,18.38095238095238,73
Limpiafondos inalámbrico Zuipy - Vulcano SA,0.045871559633027525,116,9,98,42,48,98,1.183673469387755,17.785714285714285,380
Material descarga - Vulcano SA,0,30,9,5,5,0,5,6,72,74
Skimmer mini FV - Vulcano SA,0,21,9,18,4,2,18,1.1666666666666667,31.666666666666668,62
SuperLED luz azul 4W - Vulcano SA,0,14,9,7,1,2,7,2,32.714285714285715,41
Varilla soporta para tapa casilla soplada - Vulcano SA,0,19,9,10,4,2,10,1.9,22.4,56
